RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,DateofCalculation
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,10,9,703,54,30,D,41.5116,-9.2083,41.4833,-9.2,12E0,153,V,NA,1,1,C,4.2,NA,NA,3226,550,NA,NA,-9,NA,-9,13.4,NA,-9,NA,173,3.5,-9,NA,-9,NA,-9,150,4,150,1,16.3,12.7,35.63,35.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,974,10,2018,10,9,934,53,0,D,41.4983,-9.0883,41.4983,-9.0883,11E0,86,I,NA,1,1,C,5.8,NA,NA,0,350,NA,NA,-9,NA,-9,-9,NA,-9,NA,146,3.5,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,974,11,2018,10,9,1038,53,30,D,41.4466,-9.045,41.4233,-9.0283,11E0,87,V,NA,1,1,C,4.3,NA,NA,2943,350,NA,NA,-9,NA,-9,15.2,NA,-9,NA,151,3.4,-9,NA,-9,NA,-9,NA,NA,NA,-9,14.8,12.9,35.53,35.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,5,14,2018,10,10,647,53,30,D,41.4166,-8.8583,41.445,-8.8566,11E1,50,V,NA,1,1,C,4.6,NA,NA,3153,200,NA,NA,-9,NA,-9,11.6,NA,-9,NA,351,3.5,-9,NA,-9,NA,-9,NA,NA,NA,-9,14,13,35.52,35.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,6,13,2018,10,9,1600,53,30,D,41.3483,-8.9833,41.3783,-8.9816,11E1,85,V,NA,1,1,C,4.4,NA,NA,3338,350,NA,NA,-9,NA,-9,14.1,NA,-9,NA,14,3.4,-9,NA,-9,NA,-9,315,5,315,1.5,15.1,12.9,35.56,35.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,7,12,2018,10,9,1323,54,27,D,41.2783,-9.1666,41.255,-9.1649,11E0,151,V,NA,1,1,C,4.1,NA,NA,2598,600,NA,NA,-9,NA,-9,14.4,NA,-9,NA,176,3.5,-9,NA,-9,NA,-9,NA,1,NA,0.5,12.5,12.9,35.57,35.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,8,15,2018,10,10,958,53,30,D,41.1833,-8.8049,41.16,-8.8016,11E1,36,V,NA,1,1,C,4.7,NA,NA,2609,150,NA,NA,-9,NA,-9,12.3,NA,-9,NA,160,3.5,-9,NA,-9,NA,-9,NA,NA,NA,-9,14.4,13.2,35.44,35.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,11,18,2018,10,10,1720,55,30,D,41.1466,-9.3083,41.1649,-9.2833,11E0,320,V,NA,1,1,C,4.3,NA,NA,2921,650,NA,NA,-9,NA,-9,14.7,NA,-9,NA,44,3.4,-9,NA,-9,NA,-9,180,7,180,1.5,17.6,12.7,35.72,35.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,9,16,2018,10,10,1212,53,30,D,41.13,-8.9799,41.1066,-8.9866,11E1,76,V,NA,1,1,C,4.5,NA,NA,2653,350,NA,NA,-9,NA,-9,14,NA,-9,NA,194,3.3,-9,NA,-9,NA,-9,180,7,180,1.5,17.1,13,35.47,35.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,10,17,2018,10,10,1457,54,31,D,41.0893,-9.1833,41.12,-9.18,11E0,148,V,NA,1,1,C,4,NA,NA,3421,550,NA,NA,-9,NA,-9,14.5,NA,-9,NA,2,3.4,-9,NA,-9,NA,-9,180,7,180,2,16.2,12.7,35.56,35.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
